sample_type	sample count	simple_sample_type	empo_1	empo_2	empo_3			
abdominal	120	bodily fluid	Host-associated	Animal	Animal corpus			
ab_liq	70	bodily fluid	Host-associated	Animal	Animal corpus			
ab_reswab	20	bodily fluid	Host-associated	Animal	Animal corpus			
ab_swab	20	bodily fluid	Host-associated	Animal	Animal corpus			
air	85	air	Free-living	Non-saline	Aerosol (non-saline)			
alfalfa surface	12	plant	Host-associated	Plant	Plant surface			
Algal	10	algal biofilm	Host-associated	Plant	Plant surface			
algal tissue	1	plant	Host-associated	Plant	Plant corpus			
Amphimedon erina	5	sponge	Host-associated	Animal	Animal corpus			
anal swab		anal swab	Host-associated	Animal-associated	Animal distal gut			
anaerobic reactor biomass	23	anaerobic digester content	Host-associated	Animal-associated	Animal distal gut			
Ancorina alata	12	sponge	Host-associated	Animal	Animal corpus			
Animal distal gut	48	fecal	Host-associated	Animal	Animal distal gut			
Animal secretion	57	saliva	Host-associated	Animal	Animal secretion			
Animal surface	61	skin	Host-associated	Animal	Animal corpus			
Aplysina aerophoba	16	sponge	Host-associated	Animal	Animal corpus			
Aplysina archeri	6	sponge	Host-associated	Animal	Animal corpus			
Aplysina cavernicola	6	sponge	Host-associated	Animal	Animal corpus			
apple surface	24	food product	Host-associated	Plant	Plant corpus			
arterial plaque	14	arterial plaque	Host-associated	Animal	Animal corpus			
Axilla	277	skin	Host-associated	Animal	Animal secretion			
Axinella infundibuliformis	12	sponge	Host-associated	Animal	Animal corpus			
Axinella sp.	6	sponge	Host-associated	Animal	Animal corpus			
bacteria monoculture		control positive	Control	Positive	Single strain			
beach sand	96	beach sand	Free-living	Non-saline	Soil (non-saline)			
beauty product	4	anthropogenic material	Free-living	Non-saline	Surface (non-saline)			
Bedrail	650	surface	Free-living	Non-saline	Surface (non-saline)			
bee intestine with content	158	insect	Host-associated	Animal	Animal distal gut			
bee larva	36	insect	Host-associated	Animal	Animal corpus			
bee pupa	36	insect	Host-associated	Animal	Animal corpus			
beer-associated microbial community	14	food product	Free-living	Non-saline	Surface (non-saline)			
belly	86	skin	Host-associated	Animal	Animal surface			
belly_reswab	20	skin	Host-associated	Animal	Animal surface			
Biemna ehrenbergi	4	sponge	Host-associated	Animal	Animal corpus			
bile	1	secretion	Host-associated	Animal	Animal secretion			
biofilm	572	biofilm	Free-living	Non-saline	Surface (non-saline)			
Biofilm	3	biofilm	Free-living	Non-saline	Surface (non-saline)			
biopsy	1075	body tissue	Host-associated	Animal	Animal corpus			
bioreactor content		anaerobic digester content	Host-associated	Animal	Animal distal gut			
bird egg shell	1179	bird egg	Host-associated	Animal	Animal corpus			
bison feces	3	stool	Host-associated	Animal	Animal distal gut			
black-ball sponge	27	sponge	Host-associated	Animal	Animal corpus			
blank control	324	control blank	Control	Negative	Sterile water blank			
BLANK.JS6.12E	1	control blank	Control	Negative	Sterile water blank			
BLANK.JS6.12F	1	control blank	Control	Negative	Sterile water blank			
BLANK.JS6.12G	1	control blank	Control	Negative	Sterile water blank			
